Latitude,Species,Habitat,Depth,TL(cm),d13C,C.N,Lipid.Extraction,ProvCode,ProvDescr,meanLH,sdLH,rangeLH
59.61667,Somniosus pacificus,Shelf,NA,155,-22.671,6.147427525,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
59.61667,Somniosus pacificus,Shelf,NA,176,-22.959,6.042796726,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
59.55,Somniosus pacificus,Shelf,160,277,-22.214,6.857083393,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
59.45,Somniosus pacificus,Shelf,72,142,-23.396,7.964627795,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
59.33333,Somniosus pacificus,Shelf,72,192,-23.78,7.858995382,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
59.23333,Somniosus pacificus,Shelf,NA,150,-23.791,9.318040689,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
59.23333,Somniosus pacificus,Shelf,70,453,-22.949,7.550772525,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
59.23333,Somniosus pacificus,Shelf,135,141,-23.076,6.660613599,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
59.22,Etmopterus spinax,Slope,750,44.5,-18.82,3.92,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
59.22,Deania calcea,Slope,750,93,-17.67,3.56,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
59.22,Centroscymnus crepidater,Slope,750,30.5,-18.48,3.51,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
59.22,Etmopterus spinax,Slope,750,46.5,-17.88392959,3.480342567,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
59.22,Galeus melastomus,Slope,750,73,-17.95,3.48,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
59.22,Centroscymnus crepidater,Slope,750,30.5,-18.2,3.38,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
59.22,Etmopterus spinax,Slope,750,45,-17.9089077,3.343597237,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
59.22,Etmopterus spinax,Slope,750,47.5,-17.26052498,3.265351892,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
59.21667,Somniosus pacificus,Shelf,70,222,-23.246,8.052201881,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
59.18333,Somniosus pacificus,Shelf,78,172,-23.432,8.321840226,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
59.122,Etmopterus spinax,Slope,750,23.5,-18.7,3.48,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
59.122,Etmopterus spinax,Slope,750,21.5,-18.81,3.46,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
59.122,Etmopterus spinax,Slope,750,28.5,-18.71,3.4,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
59.122,Apristurus laurussonii,Slope,750,77,-17.84,3.39,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
59.122,Etmopterus spinax,Slope,750,19.5,-18.88,3.24,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
59.11667,Somniosus pacificus,Shelf,73,213,-23.075,7.709225903,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
59.08333,Somniosus pacificus,Shelf,73,131,-23.311,8.408396096,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
59.078,Centroscymnus coelolepis,Slope,1000,96.5,-17.102016,3.779131805,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
59.078,Centroscymnus coelolepis,Slope,1000,91,-17.7,3.56,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
59.078,Galeus murinus,Slope,1000,43.5,-18.06150623,3.419396067,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
59.078,Apristurus aphyodes,Slope,1000,NA,-18.64035757,3.288621065,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
59.078,Apristurus aphyodes,Slope,1000,NA,-17.93270041,3.051385767,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
